Indegree,Outdegree,NumSCC,betweenness,closeness
6,12,0,2300.877249062846,0.39987176747168196
1,4,0,0.0,0.3615458937198068
1,1,0,34.03093477428049,0.30398050365556456
0,3,3,0.0,0.35529813900493734
3,13,0,157.75941887582297,0.3919145370758274
0,4,5,0.0,0.3461609620721554
1,25,0,92.80669459039082,0.3280729440645274
2,24,0,9264.320377603999,0.41559306974677923
0,0,8,0.0,0.0
1,0,9,0.0,0.2477489406779661
3,15,0,686.3731995831733,0.38841602657255553
16,17,0,25836.25296540823,0.41476391044114386
2,1,0,0.0,0.29478493776587367
7,64,0,2069.930211662816,0.4540160155302111
3,5,0,221.13720828744312,0.33374955404923295
0,3,15,0.0,0.3286492183383102
21,58,0,26335.51556329692,0.45645279336423517
0,0,17,0.0,0.0
1,7,0,0.0,0.37843851132686085
1,2,0,1.0166666666666666,0.29125155666251556
0,1,20,0.0,0.2524966261808367
5,9,0,754.8352111592412,0.3846628289473684
4,6,0,663.1276348130981,0.33226780323210797
1,17,0,5453.697783879492,0.39257238774653797
8,5,0,7516.176262536777,0.31950136612021857
3,3,0,47.936688094829165,0.3515595640736565
16,8,0,2205.6851508174977,0.34757570128181314
5,3,0,18.447390695704996,0.31162558294470355
3,4,0,73.60786035968185,0.3248827921514152
4,19,0,1084.9512318614175,0.42130150866921867
13,10,0,1020.2907595367698,0.3999572466866182
8,32,0,4707.506244026439,0.42561419472247497
1,10,32,54.046926962233265,0.3699822028870872
13,14,0,896.5095051525986,0.3567206863679695
0,1,34,0.0,0.2559157434003556
0,7,35,0.0,0.38537590113285275
0,6,36,0.0,0.38121434392828035
0,1,37,0.0,0.2841737545565006
1,6,0,1420.7876165863956,0.37159880834160874
2,3,0,44.70712196037583,0.3307406752695775
7,30,0,6452.9482955514395,0.4306098964326812
1,5,0,26.79555640871144,0.33398786147804355
2,12,0,34.1939465156987,0.4013299013299013
0,0,43,0.0,0.0
2,7,0,73.88778942902161,0.3574021012416428
238,34,0,125344.19952699586,0.4706918238993711
6,18,0,382.2844666245718,0.38090390879478825
6,29,0,3821.3893757830783,0.41661099977733246
4,2,0,17.475548059444055,0.28438972488220093
0,0,49,0.0,0.0
5,11,0,1303.498954926489,0.3609182098765432
1,4,51,14.347267690907604,0.3403674731671821
0,0,52,0.0,0.0
3,7,0,81.9349631845856,0.362175764614789
2,3,0,3.1999999999999997,0.3277855641205326
1,2,0,4.778694301468223,0.2838288834951456
21,4,0,4214.752070827637,0.32928546286518834
7,9,0,1890.0827937660565,0.3066207800721075
19,7,0,652.023662200877,0.32493921500521017
17,10,0,208.60295779174754,0.30900082576383153
16,15,0,3533.5953536650572,0.3210914707396602
5,14,0,520.4236130715707,0.41633288829550513
7,12,0,1181.6030073511602,0.37759838546922303
1,1,0,0.0,0.3064199148378644
21,30,0,8804.57477493215,0.4223476297968397
4,12,0,1422.1999744877264,0.39125888749477206
1,7,0,174.25909736093377,0.3427995602784903
0,0,67,0.0,0.0
2,1,0,1784.787616586396,0.3159405606214117
0,1,69,0.0,0.24188752424046542
0,1,70,0.0,0.3105909694555113
10,43,0,6432.261645718945,0.4153163152053274
2,7,72,107.89869232779783,0.37056842939195883
0,3,73,0.0,0.3013367692059913
8,0,74,0.0,0.29993587688361656
18,16,0,8460.303359897773,0.4030590262817751
1,9,0,438.7435384395245,0.37851507181873356
0,2,77,0.0,0.26062125644240147
1,0,78,0.0,0.2697520184544406
2,11,0,250.62919364349762,0.3806714140386572
14,32,0,11558.612412896257,0.4214913268754224
2,3,0,56.73251648580464,0.35946205571565804
0,7,82,0.0,0.3980851063829787
3,16,0,1520.2426012129301,0.38561417971970324
2,11,0,222.9376936359839,0.38129203179131854
0,1,85,0.0,0.291796631316282
3,1,0,6.17776972539687,0.32980786180151594
1,9,0,2883.5821904627974,0.3215881746304572
0,2,88,0.0,0.3320908768193113
2,15,0,2442.468912995221,0.36693469307707394
1,10,0,191.78656283155385,0.37502505512126677
6,14,0,1485.4386524703436,0.3834016393442623
1,3,0,3.2431295562453495,0.3184138869979578
6,0,93,0.0,0.3383363471971067
7,19,0,2253.3144703322528,0.39514255543822596
2,7,0,2215.846173297103,0.3580861244019139
1,17,0,825.0989169211307,0.4015883236746083
2,0,97,0.0,0.23475533249686323
8,2,0,1788.499105339105,0.29084408518576094
133,14,0,19173.902791610337,0.4335032437442076
0,1,100,0.0,0.3024571613320401
1,5,51,8.783934174909266,0.3390721275824574
4,6,0,3657.4065853528446,0.3630190143577804
82,105,0,125077.350520655,0.4715221774193548
0,6,104,0.0,0.3919966478106013
5,25,0,3318.9738666687513,0.42629300524037367
0,3,106,0.0,0.33894927536231884
9,22,0,8388.895313154437,0.404978354978355
0,1,108,0.0,0.32048646796848235
0,10,109,0.0,0.36707867372964487
15,15,0,2304.311222595977,0.41066725197541704
5,17,0,2342.771183527614,0.3830876330876331
4,2,0,953.1747792120576,0.305469387755102
1,0,113,0.0,0.224987974987975
0,11,114,0.0,0.3796672077922078
16,25,0,4431.274005133216,0.4206384892086331
5,6,0,261.42037940688806,0.321920165175499
38,22,0,18156.40127668172,0.42092238470191223
115,33,0,115405.95141853178,0.4413776834159
1,2,119,3.67062080076786,0.2861731416335271
1,3,0,0.0,0.2778025241276912
0,9,121,0.0,0.3835588355883559
0,2,122,0.0,0.26069388323812176
1,0,123,0.0,0.33524457982440425
4,10,0,122.45401803534013,0.3757028112449799
0,4,125,0.0,0.3528191589666227
3,2,0,6406.0,0.3190110826939471
0,11,127,0.0,0.3860916219562526
1,9,0,18.518436200064862,0.36939782823297135
1,4,0,190.3443659547962,0.36379545012638537
16,22,0,9809.716851411484,0.40682757121113283
